Quarterly,Output gap,Capital input gap,Labor input gap,Tankan factor utilization index,Tankan factor utilization index
1999.1Q,-1.73,-0.93,-0.79,,20.98
1999.2Q,-2,-1.18,-0.81,,20.41
1999.3Q,-1.35,-0.75,-0.61,,17.84
1999.4Q,-1.08,-0.57,-0.51,,16.27
2000.1Q,-0.9,-0.33,-0.57,,13.14
2000.2Q,-0.14,0.1,-0.24,,12.7
2000.3Q,0.35,0.29,0.06,,10.57
2000.4Q,0.89,0.44,0.45,,9
2001.1Q,0.26,-0.08,0.34,,10.57
2001.2Q,-0.6,-0.52,-0.09,,14.14
2001.3Q,-1.77,-1.3,-0.47,,17.57
2001.4Q,-2.24,-1.59,-0.64,,19.27
2002.1Q,-2.46,-1.64,-0.82,,19.14
2002.2Q,-2.43,-1.29,-1.15,,17.14
2002.3Q,-1.92,-0.93,-0.99,,14.57
2002.4Q,-1.79,-0.87,-0.92,,14
2003.1Q,-1.66,-0.81,-0.85,,13
2003.2Q,-1.61,-0.83,-0.78,,14.14
2003.3Q,-1.46,-0.61,-0.85,,11.57
2003.4Q,-0.95,-0.26,-0.7,6.57,9.43
2004.1Q,-0.62,-0.11,-0.52,4.43,
2004.2Q,-0.6,-0.07,-0.53,4,
2004.3Q,-0.33,0.15,-0.48,2.43,
2004.4Q,-0.7,0.09,-0.79,1.3,
2005.1Q,-0.3,0.4,-0.7,0.73,
2005.2Q,-0.22,0.29,-0.51,1.3,
2005.3Q,-0.04,0.34,-0.37,-0.27,
2005.4Q,0.18,0.58,-0.4,-2.27,
2006.1Q,0.41,0.7,-0.29,-3.98,
2006.2Q,0.57,0.9,-0.33,-2.84,
2006.3Q,0.84,0.99,-0.15,-4.54,
2006.4Q,1.29,1.24,0.05,-6.11,
2007.1Q,1.39,1.22,0.18,-7.25,
2007.2Q,1.63,1.15,0.47,-4.54,
2007.3Q,1.55,1.28,0.27,-5.11,
2007.4Q,1.86,1.47,0.39,-5.68,
2008.1Q,1.61,1.38,0.23,-5.11,
2008.2Q,1.33,1,0.34,-1.98,
2008.3Q,0.38,0.36,0.02,0.16,
2008.4Q,-1.2,-0.97,-0.24,5.73,
2009.1Q,-4.93,-3.87,-1.05,19.57,
2009.2Q,-5.02,-3.56,-1.47,22.14,
2009.3Q,-4.18,-2.9,-1.28,19.57,
2009.4Q,-3.08,-2.02,-1.06,16.43,
2010.1Q,-1.97,-1.4,-0.57,13.43,
2010.2Q,-1.57,-1.21,-0.36,11,
2010.3Q,-0.88,-0.78,-0.1,7.43,
2010.4Q,-0.87,-0.7,-0.17,6.43,
2011.1Q,-1.25,-1.05,-0.21,5.3,
2011.2Q,-1.85,-1.37,-0.49,7.57,
2011.3Q,-0.87,-0.62,-0.25,4.3,
2011.4Q,-0.39,-0.39,0,3.73,
2012.1Q,-0.18,-0.17,-0.01,2.73,
2012.2Q,-0.58,-0.44,-0.14,2.73,
2012.3Q,-1.12,-0.78,-0.34,2.73,
2012.4Q,-1.31,-0.82,-0.49,2.59,
2013.1Q,-1.16,-0.75,-0.41,2.02,
2013.2Q,-0.79,-0.47,-0.32,1.59,
2013.3Q,-0.37,-0.16,-0.21,-1.54,
2013.4Q,0.24,0.24,0,-4.82,
2014.1Q,0.33,0.57,-0.23,-6.82,
2014.2Q,-0.14,0.09,-0.23,-5.25,
2014.3Q,-0.29,0.04,-0.33,-7.52,
2014.4Q,-0.14,0.13,-0.27,-8.52,
2015.1Q,0.03,0.22,-0.2,-10.09,
2015.2Q,-0.41,0,-0.4,-8.52,
2015.3Q,-0.45,0.04,-0.48,-9.52,
2015.4Q,-0.59,0.05,-0.64,-11.22,
2016.1Q,-0.5,0.07,-0.57,-10.66,
2016.2Q,-0.57,-0.09,-0.48,-9.22,
2016.3Q,-0.26,0.04,-0.3,-10.79,
2016.4Q,-0.15,0.19,-0.34,-11.93,
2017.1Q,-0.03,0.3,-0.33,-15.07,
2017.2Q,0.45,0.49,-0.04,-15.07,
2017.3Q,0.72,0.57,0.15,-17.2,
2017.4Q,0.76,0.73,0.03,-19.77,
2018.1Q,1.16,0.61,0.55,-21.47,
2018.2Q,1.46,0.61,0.85,-20.34,
2018.3Q,1.28,0.55,0.72,-20.91,
2018.4Q,1.63,0.79,0.84,-22.04,
2019.1Q,1.4,0.57,0.82,-22.04,
2019.2Q,1.3,0.43,0.86,-19.47,
2019.3Q,1.23,0.39,0.84,-19.47,
2019.4Q,0.73,-0.04,0.78,-18.91,
2020.1Q,0.08,-0.28,0.37,-16.34,
2020.2Q,-3.95,-2.53,-1.41,0.05,
2020.3Q,-2.77,-1.88,-0.89,0.05,
2020.4Q,-1.59,-1.17,-0.42,-3.09,
2021.1Q,-1.24,-0.87,-0.37,-5.09,
2021.2Q,-1.43,-0.77,-0.66,-7.09,
2021.3Q,-1.75,-1.14,-0.62,-9.22,
2021.4Q,-1.52,-0.83,-0.69,-11.93,
2022.1Q,-1.03,-0.67,-0.35,-13.63,
2022.2Q,-0.67,-0.75,0.08,-13.63,
2022.3Q,-0.28,-0.4,0.12,-16.34,
2022.4Q,-0.43,-0.42,-0.01,-18.47,
2023.1Q,-0.36,-0.61,0.25,-18.61,
2023.2Q,-0.12,-0.46,0.35,-18.61,
2023.3Q,-0.34,-0.65,0.3,-19.18,
2023.4Q,-0.05,-0.35,0.3,-20.75,
2024.1Q,-0.71,-0.99,0.29,-20.88,
2024.2Q,-0.58,-0.77,0.18,-20.31,
2024.3Q,-0.53,-0.79,0.26,-20.88,
